Regions,Transcription Factors,Properties
controls_seq8_[chr10:102245394-102245564],,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_5
controls_seq8_[chr10:102245394-102245564],,Induction/activity_at_TP_12h
controls_seq8_[chr10:102245394-102245564],,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_4
controls_seq8_[chr10:102245394-102245564],,Induction/activity_at_TP_3h
controls_seq8_[chr10:102245394-102245564],,pathway_hsa04340
controls_seq8_[chr10:102245394-102245564],,pathway_hsa04310
seq865_[chr2:69135637-69135807],MYC_Fimo_ENCODE_9,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_2
seq865_[chr2:69135637-69135807],USF2_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_2
seq865_[chr2:69135637-69135807],SRF_Fimo_hg19_17,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_2
seq865_[chr2:69135637-69135807],RXRA_Fimo_ENCODE_2,Induction/activity_at_TP_12h
seq865_[chr2:69135637-69135807],ZIC2_Fimo_ENCODE_2,Induction/activity_at_TP_48h
seq865_[chr2:69135637-69135807],TFCP2L1_Fimo_ENCODE_1,Induction/activity_at_TP_24h
seq865_[chr2:69135637-69135807],HIF1A_Fimo_ENCODE_1,
seq865_[chr2:69135637-69135807],REST_Fimo_ENCODE_9,
seq865_[chr2:69135637-69135807],HIF1A_Fimo_ENCODE_2,
seq865_[chr2:69135637-69135807],TCF12_Fimo_ENCODE_5,
seq689_[chr17:47943180-47943350],NFKB2_Fimo_hg19_2,Induction/activity_at_TP_24h
seq689_[chr17:47943180-47943350],NR2F2_Fimo_hg19_22,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_4
seq689_[chr17:47943180-47943350],SOX5_Fimo_ENCODE_1,Induction/activity_at_TP_48h
seq689_[chr17:47943180-47943350],OTX1_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_2
seq689_[chr17:47943180-47943350],PAX6_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_4
seq689_[chr17:47943180-47943350],LHX5_Fimo_ENCODE_1,
seq689_[chr17:47943180-47943350],USF1_Fimo_hg19_9,
seq689_[chr17:47943180-47943350],LMX1A_Fimo_hg19_1,
seq689_[chr17:47943180-47943350],OTX2_Fimo_ENCODE_1,
seq689_[chr17:47943180-47943350],DMBX1_Fimo_hg19_10,
seq493_[chr14:64854653-64854823],MEIS3_Fimo_ENCODE_1,Induction/activity_at_TP_24h
seq493_[chr14:64854653-64854823],MEIS2_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_1
seq493_[chr14:64854653-64854823],LHX5_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_2
seq493_[chr14:64854653-64854823],SNAI3_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_1
seq493_[chr14:64854653-64854823],LMX1A_Fimo_hg19_1,Induction/activity_at_TP_48h
seq493_[chr14:64854653-64854823],PKNOX2_Fimo_hg19_5,
seq493_[chr14:64854653-64854823],REST_Fimo_ENCODE_8,
seq493_[chr14:64854653-64854823],REST_Fimo_ENCODE_9,
seq493_[chr14:64854653-64854823],GLI1_Fimo_hg19_11,
seq493_[chr14:64854653-64854823],TCF12_Fimo_ENCODE_5,
seq1055_[chr3:20371483-20371653],ZIC3_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_4
seq1055_[chr3:20371483-20371653],MYC_Fimo_ENCODE_9,Induction/activity_at_TP_72h
seq1055_[chr3:20371483-20371653],JUN_Fimo_hg19_11,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_3
seq1055_[chr3:20371483-20371653],SOX1_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_4
seq1055_[chr3:20371483-20371653],ZNF423_Fimo_ENCODE_2,Induction/activity_at_TP_48h
seq1055_[chr3:20371483-20371653],YY2_Fimo_hg19_9,
seq1055_[chr3:20371483-20371653],TCF7L2_Fimo_ENCODE_4,
seq1055_[chr3:20371483-20371653],MZF1_Fimo_ENCODE_1,
seq1055_[chr3:20371483-20371653],SOX21_Fimo_ENCODE_3,
seq1055_[chr3:20371483-20371653],ZIC2_Fimo_ENCODE_2,
seq1055_[chr3:20371483-20371653],YY2_Fimo_hg19_10,
seq1055_[chr3:20371483-20371653],SP8_Fimo_ENCODE_1,
seq1055_[chr3:20371483-20371653],CR936877.3_Fimo_hg19_22,
seq1055_[chr3:20371483-20371653],ZIC5_Fimo_hg19_1,
seq1501_[chr8:50005334-50005504],ETV5_Fimo_hg19_31,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_1
seq1501_[chr8:50005334-50005504],SOX1_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_2
seq1501_[chr8:50005334-50005504],MYC_Fimo_ENCODE_5,Induction/activity_at_TP_6h
seq1501_[chr8:50005334-50005504],MEIS3_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_1
seq1501_[chr8:50005334-50005504],SOX2_Fimo_ENCODE_1,Induction/activity_at_TP_0h
seq1501_[chr8:50005334-50005504],,Induction/activity_at_TP_12h
seq1501_[chr8:50005334-50005504],,Induction/activity_at_TP_3h
seq1900_[chr20:46433296-46433466],ZIC3_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_2
seq1900_[chr20:46433296-46433466],SOX1_Fimo_hg19_3,Induction/activity_at_TP_6h
seq1900_[chr20:46433296-46433466],BARHL1_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_3
seq1900_[chr20:46433296-46433466],SOX21_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_3
seq1900_[chr20:46433296-46433466],ATF3_Fimo_hg19_1,Induction/activity_at_TP_0h
seq1900_[chr20:46433296-46433466],RXRA_Fimo_ENCODE_2,Induction/activity_at_TP_12h
seq1900_[chr20:46433296-46433466],ZIC5_Fimo_hg19_1,Induction/activity_at_TP_3h
seq96_[chr1:113570296-113570466],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_3
seq96_[chr1:113570296-113570466],NFE2L2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_5
seq96_[chr1:113570296-113570466],MYC_Fimo_ENCODE_5,Induction/activity_at_TP_24h
seq96_[chr1:113570296-113570466],SOX21_Fimo_ENCODE_3,Induction/activity_at_TP_48h
seq96_[chr1:113570296-113570466],ZNF423_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_3
seq2159_[chr3:181433881-181434051],MEIS2_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_4
seq2159_[chr3:181433881-181434051],NFAT_Fimo_ENCODE_2,hand_picked_TFs
seq2159_[chr3:181433881-181434051],SNAI3_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_5
seq2159_[chr3:181433881-181434051],PKNOX2_Fimo_hg19_5,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_2
seq2159_[chr3:181433881-181434051],PAX6_Fimo_ENCODE_4,Induction/activity_at_TP_48h
seq2159_[chr3:181433881-181434051],TCF12_Fimo_ENCODE_7,Induction/activity_at_TP_24h
seq2233_[chr10:74032638-74032808],JUN_Fimo_hg19_11,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_4
seq2233_[chr10:74032638-74032808],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_2
seq2233_[chr10:74032638-74032808],MEIS2_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_3
seq2233_[chr10:74032638-74032808],NFAT_Fimo_ENCODE_2,Induction/activity_at_TP_12h
seq2233_[chr10:74032638-74032808],BCL11B_Fimo_hg19_1,Induction/activity_at_TP_24h
seq2233_[chr10:74032638-74032808],MEIS3_Fimo_ENCODE_1,Induction/activity_at_TP_48h
seq2233_[chr10:74032638-74032808],TCF12_Fimo_ENCODE_5,pathway_hsa04150
seq2132_[chr3:181956041-181956211],JUN_Fimo_hg19_11,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_4
seq2132_[chr3:181956041-181956211],ELF1_Fimo_hg19_7,hand_picked_TFs
seq2132_[chr3:181956041-181956211],E2F4_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_5
seq2132_[chr3:181956041-181956211],REST_Fimo_ENCODE_8,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_4
seq2132_[chr3:181956041-181956211],BCL11B_Fimo_hg19_1,Induction/activity_at_TP_12h
seq2132_[chr3:181956041-181956211],ATF3_Fimo_hg19_1,Induction/activity_at_TP_48h
seq2132_[chr3:181956041-181956211],RXRA_Fimo_ENCODE_2,Induction/activity_at_TP_24h
seq2132_[chr3:181956041-181956211],ETV5_Fimo_hg19_31,
seq2132_[chr3:181956041-181956211],HIF1A_Fimo_ENCODE_1,
seq2132_[chr3:181956041-181956211],TCF12_Fimo_ENCODE_5,
seq1493_[chr8:32987010-32987180],NFE2L2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_3
seq1493_[chr8:32987010-32987180],SOX1_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_3
seq1493_[chr8:32987010-32987180],RARA_Fimo_ENCODE_8,Induction/activity_at_TP_12h
seq1493_[chr8:32987010-32987180],SOX2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_5
seq1493_[chr8:32987010-32987180],ELF1_Fimo_hg19_7,Induction/activity_at_TP_48h
seq1493_[chr8:32987010-32987180],SOX5_Fimo_ENCODE_1,Induction/activity_at_TP_24h
seq1493_[chr8:32987010-32987180],SP8_Fimo_ENCODE_1,
seq1493_[chr8:32987010-32987180],RXRA_Fimo_ENCODE_2,
seq1493_[chr8:32987010-32987180],GLI1_Fimo_hg19_3,
seq1493_[chr8:32987010-32987180],TCF12_Fimo_ENCODE_5,
seq1493_[chr8:32987010-32987180],FOXJ2_Fimo_ENCODE_1,
seq1535_[chr8:144120264-144120434],HHEX_Fimo_hg19_1,Induction/activity_at_TP_24h
seq1535_[chr8:144120264-144120434],SOX1_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_3
seq1535_[chr8:144120264-144120434],SOX2_Fimo_ENCODE_1,Induction/activity_at_TP_48h
seq1535_[chr8:144120264-144120434],,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_4
seq1535_[chr8:144120264-144120434],,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_4
seq258_[chr11:10373615-10373785],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_1
seq258_[chr11:10373615-10373785],HHEX_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_1
seq258_[chr11:10373615-10373785],PAX6_Fimo_hg19_3,Induction/activity_at_TP_48h
seq258_[chr11:10373615-10373785],FOXJ2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_2
seq258_[chr11:10373615-10373785],BCL11B_Fimo_hg19_1,Induction/activity_at_TP_24h
seq1370_[chr6:154864096-154864266],OTX1_Fimo_ENCODE_2,Induction/activity_at_TP_24h
seq1370_[chr6:154864096-154864266],PKNOX2_Fimo_hg19_5,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_3
seq1370_[chr6:154864096-154864266],SOX21_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_3
seq1370_[chr6:154864096-154864266],,Induction/activity_at_TP_48h
seq1370_[chr6:154864096-154864266],,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_4
seq2231_[chr10:74014932-74015102],MZF1_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_3
seq2231_[chr10:74014932-74015102],TFCP2L1_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_4
seq2231_[chr10:74014932-74015102],TCF12_Fimo_ENCODE_7,pathway_hsa04150
seq2231_[chr10:74014932-74015102],,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_4
seq2231_[chr10:74014932-74015102],,Induction/activity_at_TP_48h
seq2231_[chr10:74014932-74015102],,Induction/activity_at_TP_24h
seq2020_[chr8:13214951-13215121],MYC_Fimo_ENCODE_9,Induction/activity_at_TP_0h
seq2020_[chr8:13214951-13215121],JUN_Fimo_hg19_11,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_4
seq2020_[chr8:13214951-13215121],GLI1_Fimo_hg19_11,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_2
seq2020_[chr8:13214951-13215121],YY2_Fimo_hg19_9,Induction/activity_at_TP_6h
seq2020_[chr8:13214951-13215121],YY2_Fimo_hg19_10,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_5
seq2020_[chr8:13214951-13215121],SP8_Fimo_ENCODE_1,Induction/activity_at_TP_12h
seq2020_[chr8:13214951-13215121],ZIC2_Fimo_ENCODE_1,Induction/activity_at_TP_3h
seq2020_[chr8:13214951-13215121],HIF1A_Fimo_ENCODE_1,
seq2020_[chr8:13214951-13215121],GLI1_Fimo_hg19_3,
seq2020_[chr8:13214951-13215121],GLI2_Fimo_ENCODE_1,
seq2053_[chr9:108438869-108439039],FOXB1_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_4
seq2053_[chr9:108438869-108439039],MEIS2_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_3
seq2053_[chr9:108438869-108439039],SNAI3_Fimo_hg19_1,Induction/activity_at_TP_6h
seq2053_[chr9:108438869-108439039],TCF12_Fimo_ENCODE_7,Induction/activity_at_TP_0h
seq2053_[chr9:108438869-108439039],GLI1_Fimo_hg19_11,Induction/activity_at_TP_12h
seq2053_[chr9:108438869-108439039],FOXJ2_Fimo_ENCODE_1,Induction/activity_at_TP_3h
seq2053_[chr9:108438869-108439039],MEIS3_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_5
seq2053_[chr9:108438869-108439039],GLI2_Fimo_ENCODE_1,
seq1811_[chr17:6365105-6365275],ZIC3_Fimo_ENCODE_3,Induction/activity_at_TP_24h
seq1811_[chr17:6365105-6365275],NFAT_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_3
seq1811_[chr17:6365105-6365275],SP8_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_1
seq1811_[chr17:6365105-6365275],ATF3_Fimo_hg19_1,Induction/activity_at_TP_48h
seq1811_[chr17:6365105-6365275],TFCP2L1_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_4
seq1811_[chr17:6365105-6365275],RXRA_Fimo_ENCODE_2,
seq1811_[chr17:6365105-6365275],SOX9_Fimo_hg19_27,
seq1811_[chr17:6365105-6365275],ZIC5_Fimo_hg19_1,
seq1811_[chr17:6365105-6365275],SOX10_Fimo_ENCODE_8,
controls_seq185_[chr11:31832761-31832931],SOX1_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_4
controls_seq185_[chr11:31832761-31832931],BHLHE40_Fimo_hg19_2,hand_picked_TFs
controls_seq185_[chr11:31832761-31832931],SOX5_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_4
controls_seq185_[chr11:31832761-31832931],USF1_Fimo_hg19_9,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_4
controls_seq185_[chr11:31832761-31832931],HIF1A_Fimo_ENCODE_2,Induction/activity_at_TP_12h
controls_seq185_[chr11:31832761-31832931],PTEN_Fimo_ENCODE_1,Induction/activity_at_TP_48h
controls_seq185_[chr11:31832761-31832931],,Induction/activity_at_TP_24h
seq322_[chr11:102079639-102079809],MYC_Fimo_ENCODE_9,Induction/activity_at_TP_72h
seq322_[chr11:102079639-102079809],HHEX_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_1
seq322_[chr11:102079639-102079809],E2F4_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_1
seq322_[chr11:102079639-102079809],ZIC2_Fimo_ENCODE_2,Induction/activity_at_TP_48h
seq322_[chr11:102079639-102079809],SP8_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_5
seq322_[chr11:102079639-102079809],REST_Fimo_ENCODE_8,
seq322_[chr11:102079639-102079809],REST_Fimo_ENCODE_9,
seq322_[chr11:102079639-102079809],TCF12_Fimo_ENCODE_5,
seq1769_[chr14:100350343-100350513],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_4
seq1769_[chr14:100350343-100350513],BCL11B_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_5
seq1769_[chr14:100350343-100350513],ATF3_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_4
seq1769_[chr14:100350343-100350513],TFCP2L1_Fimo_ENCODE_1,Induction/activity_at_TP_12h
seq1769_[chr14:100350343-100350513],,Induction/activity_at_TP_48h
seq1769_[chr14:100350343-100350513],,Induction/activity_at_TP_24h
seq31_[chr1:20813189-20813359],SOX1_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_4
seq31_[chr1:20813189-20813359],SOX2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_3
seq31_[chr1:20813189-20813359],MZF1_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_3
seq31_[chr1:20813189-20813359],SP8_Fimo_ENCODE_1,Induction/activity_at_TP_12h
seq31_[chr1:20813189-20813359],TFCP2L1_Fimo_ENCODE_1,Induction/activity_at_TP_48h
seq31_[chr1:20813189-20813359],NFKB2_Fimo_hg19_2,Induction/activity_at_TP_24h
seq1430_[chr7:73693981-73694151],JUN_Fimo_hg19_11,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_2
seq1430_[chr7:73693981-73694151],GLI1_Fimo_hg19_3,Induction/activity_at_TP_6h
seq1430_[chr7:73693981-73694151],USF2_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_3
seq1430_[chr7:73693981-73694151],ZIC2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_3
seq1430_[chr7:73693981-73694151],HIF1A_Fimo_ENCODE_1,Induction/activity_at_TP_0h
seq1430_[chr7:73693981-73694151],GLI1_Fimo_hg19_11,Induction/activity_at_TP_12h
seq1430_[chr7:73693981-73694151],PTEN_Fimo_ENCODE_1,Induction/activity_at_TP_3h
seq1430_[chr7:73693981-73694151],GLI2_Fimo_ENCODE_1,
seq1275_[chr5:141928420-141928590],SOX1_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_5
seq1275_[chr5:141928420-141928590],RARA_Fimo_ENCODE_8,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_1
seq1275_[chr5:141928420-141928590],SOX2_Fimo_ENCODE_1,Induction/activity_at_TP_72h
seq1275_[chr5:141928420-141928590],SRF_Fimo_hg19_17,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_2
seq1275_[chr5:141928420-141928590],IRX3_Fimo_hg19_7,pathway_hsa04010
seq1275_[chr5:141928420-141928590],NFKB2_Fimo_hg19_2,Induction/activity_at_TP_48h
seq2126_[chr2:2835494-2835664],GLI1_Fimo_hg19_3,hand_picked_TFs
seq2126_[chr2:2835494-2835664],FOXJ2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_2
seq2126_[chr2:2835494-2835664],GLIS2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_5
seq2126_[chr2:2835494-2835664],,Induction/activity_at_TP_48h
seq2126_[chr2:2835494-2835664],,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_5
seq2126_[chr2:2835494-2835664],,Induction/activity_at_TP_24h
seq1191_[chr4:169762284-169762454],MYC_Fimo_ENCODE_9,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_3
seq1191_[chr4:169762284-169762454],NFKB2_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_4
seq1191_[chr4:169762284-169762454],MZF1_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_1
seq1191_[chr4:169762284-169762454],E2F4_Fimo_hg19_3,Induction/activity_at_TP_12h
seq1191_[chr4:169762284-169762454],REST_Fimo_ENCODE_8,Induction/activity_at_TP_48h
seq1191_[chr4:169762284-169762454],E2F4_Fimo_hg19_6,Induction/activity_at_TP_24h
seq1191_[chr4:169762284-169762454],BCL11B_Fimo_hg19_1,
seq1191_[chr4:169762284-169762454],OTX2_Fimo_ENCODE_1,
seq2229_[chr10:74008393-74008563],MEIS2_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_5
seq2229_[chr10:74008393-74008563],MEIS3_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_3
seq2229_[chr10:74008393-74008563],PKNOX2_Fimo_hg19_5,Induction/activity_at_TP_6h
seq2229_[chr10:74008393-74008563],RXRA_Fimo_ENCODE_2,Induction/activity_at_TP_0h
seq2229_[chr10:74008393-74008563],SNAI3_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_4
seq2229_[chr10:74008393-74008563],,Induction/activity_at_TP_12h
seq2229_[chr10:74008393-74008563],,Induction/activity_at_TP_3h
seq2229_[chr10:74008393-74008563],,pathway_hsa04150
seq350_[chr12:8962852-8963022],USF2_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_1
seq350_[chr12:8962852-8963022],RARA_Fimo_ENCODE_8,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_5
seq350_[chr12:8962852-8963022],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_2
seq350_[chr12:8962852-8963022],TCF12_Fimo_ENCODE_5,Induction/activity_at_TP_6h
seq350_[chr12:8962852-8963022],NFAT_Fimo_ENCODE_2,Induction/activity_at_TP_0h
seq350_[chr12:8962852-8963022],SRF_Fimo_hg19_17,Induction/activity_at_TP_12h
seq350_[chr12:8962852-8963022],USF1_Fimo_hg19_9,Induction/activity_at_TP_3h
seq350_[chr12:8962852-8963022],PAX6_Fimo_hg19_3,
seq350_[chr12:8962852-8963022],DMBX1_Fimo_hg19_10,
seq161_[chr1:233431342-233431512],OTX2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_1
seq161_[chr1:233431342-233431512],RXRA_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_1
seq161_[chr1:233431342-233431512],POU3F1_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_1
seq161_[chr1:233431342-233431512],TCF12_Fimo_ENCODE_5,Induction/activity_at_TP_12h
seq161_[chr1:233431342-233431512],,Induction/activity_at_TP_48h
seq161_[chr1:233431342-233431512],,Induction/activity_at_TP_24h
seq511_[chr14:75745409-75745579],SOX2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_2
seq511_[chr14:75745409-75745579],PAX6_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_2
seq511_[chr14:75745409-75745579],BARHL1_Fimo_ENCODE_3,pathway_hsa04010
seq511_[chr14:75745409-75745579],,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_2
seq511_[chr14:75745409-75745579],,Induction/activity_at_TP_48h
seq511_[chr14:75745409-75745579],,Induction/activity_at_TP_24h
seq334_[chr11:121671606-121671776],ZIC3_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_3
seq334_[chr11:121671606-121671776],FOXB1_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_4
seq334_[chr11:121671606-121671776],SOX21_Fimo_ENCODE_3,Induction/activity_at_TP_48h
seq334_[chr11:121671606-121671776],SOX2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_1
seq334_[chr11:121671606-121671776],,Induction/activity_at_TP_24h
seq1255_[chr5:107008317-107008487],REST_Fimo_ENCODE_9,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_4
seq1255_[chr5:107008317-107008487],NFKB2_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_3
seq1255_[chr5:107008317-107008487],TCF12_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_3
seq1255_[chr5:107008317-107008487],,Induction/activity_at_TP_12h
seq1255_[chr5:107008317-107008487],,Induction/activity_at_TP_48h
seq1255_[chr5:107008317-107008487],,Induction/activity_at_TP_24h
seq590_[chr15:93905528-93905698],OTX2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_4
